epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5043.25,0.27076,0.31953,0.22038,0.88132,0.98176,0.39648,0.46855,0.46252,0.98176,0.39648,0.46855,0.46153,0.17663,0.23013,0.15882,0.78321,0.0003962,0.0003962,0.0003962
83,5411.73,0.26457,0.32262,0.22576,0.87354,0.98085,0.39648,0.45553,0.44923,0.98085,0.39648,0.45553,0.44766,0.17738,0.24305,0.16869,0.78546,0.0003764,0.0003764,0.0003764
84,5776.51,0.26097,0.30012,0.21506,0.86363,0.98883,0.39501,0.45932,0.45345,0.99251,0.39648,0.45946,0.45198,0.18728,0.24216,0.15814,0.79142,0.0003566,0.0003566,0.0003566
85,6141.56,0.26073,0.3099,0.21254,0.86143,0.9909,0.39354,0.45764,0.4526,0.9909,0.39354,0.45764,0.45069,0.16973,0.23942,0.15731,0.78575,0.0003368,0.0003368,0.0003368
86,6509.5,0.25776,0.31049,0.22233,0.87553,0.99589,0.39501,0.46004,0.45513,0.99589,0.39501,0.46004,0.45198,0.16972,0.23107,0.15329,0.78803,0.000317,0.000317,0.000317
87,6876.64,0.25881,0.31798,0.22378,0.85417,0.98075,0.39648,0.46021,0.45547,0.98075,0.39648,0.46021,0.45212,0.17084,0.22975,0.15229,0.78665,0.0002972,0.0002972,0.0002972
88,7253.75,0.28752,0.35354,0.22993,0.87832,0.99492,0.39501,0.46266,0.45651,0.99492,0.39501,0.46266,0.45476,0.17403,0.23607,0.15011,0.78675,0.0002774,0.0002774,0.0002774
89,7628.76,0.281,0.35402,0.22798,0.88487,0.99586,0.39648,0.45702,0.45104,0.99586,0.39648,0.45702,0.44955,0.17186,0.22827,0.14658,0.79494,0.0002576,0.0002576,0.0002576
90,8002.17,0.27362,0.34693,0.22594,0.88264,0.98898,0.39532,0.46071,0.45508,0.98898,0.39532,0.46071,0.45301,0.17395,0.2287,0.149,0.78982,0.0002378,0.0002378,0.0002378
91,8305.27,0.21104,0.23564,0.19803,0.84058,0.981,0.34949,0.39202,0.38807,0.981,0.34949,0.39202,0.38656,0.542,1.83054,0.89099,22.3599,0.000218,0.000218,0.000218
92,8588.58,0.21127,0.22314,0.18026,0.8335,0.98794,0.39648,0.47342,0.46717,0.98794,0.39648,0.47342,0.4658,0.17664,0.24266,0.14962,0.79125,0.0001982,0.0001982,0.0001982
93,9012,0.20707,0.22582,0.1745,0.83481,0.99233,0.39648,0.4638,0.4579,0.99233,0.39648,0.4638,0.45658,0.17465,0.23325,0.14404,0.7912,0.0001784,0.0001784,0.0001784
94,9284.14,0.20294,0.2253,0.16856,0.83242,0.99207,0.39648,0.46374,0.45748,0.99207,0.39648,0.46374,0.45756,0.1732,0.23059,0.14264,0.79073,0.0001586,0.0001586,0.0001586
95,9567.4,0.19585,0.23255,0.16351,0.83024,0.99146,0.39207,0.48405,0.47802,0.99146,0.39207,0.4835,0.47538,0.184,0.3638,0.18998,1.77691,0.0001388,0.0001388,0.0001388
96,9862.14,0.1986,0.22127,0.16726,0.82621,0.99189,0.3862,0.48133,0.47423,0.99189,0.3862,0.48074,0.47344,0.20296,0.60825,0.22085,3.02413,0.000119,0.000119,0.000119
96,242.478,0.19535,0.22582,0.1636,0.82528,0.98989,0.39648,0.48237,0.47631,0.98989,0.39648,0.48237,0.4751,0.17001,0.2319,0.14107,0.78612,0.000119,0.000119,0.000119
97,464.328,0.18208,0.22051,0.15673,0.82525,0.99469,0.39648,0.50146,0.49593,0.99469,0.39648,0.50146,0.49395,0.16435,0.22981,0.13706,0.78364,9.92e-05,9.92e-05,9.92e-05
98,681.158,0.184,0.2271,0.15428,0.82482,0.99631,0.39642,0.50934,0.50344,0.99631,0.39642,0.50934,0.50284,0.16637,0.22048,0.1377,0.78196,7.94e-05,7.94e-05,7.94e-05
99,1132.62,0.18384,0.21955,0.15591,0.8263,0.99924,0.36564,0.48544,0.48037,0.99924,0.36564,0.48544,0.4786,0.16479,0.22474,0.13475,0.78187,5.96e-05,5.96e-05,5.96e-05
100,1348.54,0.18434,0.21955,0.15921,0.82466,0.99544,0.39648,0.51647,0.51118,0.99544,0.39648,0.51647,0.50868,0.1579,0.22176,0.13057,0.77995,3.98e-05,3.98e-05,3.98e-05
